Customer Number,DC,UPC,ItemNumber,Quantity,PO Number (Optional),Department (Optional),Aisle Number (Optional)
130123,01,077420407191,,,,,
130123,01,851916003643,,,,,
130123,01,077420404909,,,,,
130123,01,077420410023,,,,,
130123,01,077420407795,,,,,
130123,01,853754003342,,,,,
130123,01,077420407528,,,,,
130123,01,852131008116,,,,,
130123,01,077420409034,,,,,
130123,01,077420412317,,,,,
130123,01,896743002292,,,,,
130123,01,848858021132,,,,,
130123,01,077420414106,,,,,
130123,01,896859000489,,,,,
130123,01,032601025083,,,,,
130123,01,852375003014,,,,,
130123,01,896743002964,,,,,
130123,01,077544276000,,,,,
130123,01,865053000472,,,,,
130123,01,896859000014,,,,,
130123,01,852487008013,,,,,
130123,01,852466006016,,,,,
130123,01,852469004286,,,,,
130123,01,852466006030,,,,,
130123,01,021908455594,,,,,
130123,01,852878005690,,,,,
130123,01,852537005412,,,,,
130123,01,852537005634,,,,,
130123,01,077544828001,,,,,
130123,01,852605008178,,,,,
130123,01,852605008581,,,,,
130123,01,896859000304,,,,,
130123,01,852605008574,,,,,
130123,01,852629004767,,,,,
130123,01,072549000209,,,,,
130123,01,852629004750,,,,,
130123,01,852614006516,,,,,
130123,01,049568170121,,,,,
130123,01,896859000656,,,,,
130123,01,852629004774,,,,,
130123,01,852675006906,,,,,
130123,01,852675006913,,,,,
130123,01,852697001323,,,,,
130123,01,852697001309,,,,,
130123,01,852697001521,,,,,
130123,01,075669102280,,,,,
130123,01,049568020327,,,,,
130123,01,852761007336,,,,,
130123,01,021908504018,,,,,
130123,01,852761007961,,,,,
130123,01,852761007169,,,,,
130123,01,852761007008,,,,,
130123,01,852749004692,,,,,
130123,01,075669102402,,,,,
130123,01,852838005296,,,,,
130123,01,897580000151,,,,,
130123,01,075669105021,,,,,
130123,01,897580000137,,,,,
130123,01,078192048834,,,,,
130123,01,075669111121,,,,,
130123,01,852834002015,,,,,
130123,01,852838005685,,,,,
130123,01,852838005029,,,,,
130123,01,852909003299,,,,,
130123,01,075669109418,,,,,
130123,01,850941006360,,,,,
130123,01,852878005744,,,,,
130123,01,852909003305,,,,,
130123,01,897658001011,,,,,
130123,01,852878005539,,,,,
130123,01,852874005106,,,,,
130123,01,852874005069,,,,,
130123,01,852909003282,,,,,
130123,01,852913003551,,,,,
130123,01,077901004024,,,,,
130123,01,852913003537,,,,,
130123,01,852909003480,,,,,
130123,01,852838005692,,,,,
130123,01,852909003824,,,,,
130123,01,897658001240,,,,,
130123,01,852932008070,,,,,
130123,01,852909003497,,,,,
130123,01,853037004219,,,,,
130123,01,897785001274,,,,,
130123,01,897856002322,,,,,
130123,01,853016002014,,,,,
130123,01,852913003018,,,,,
130123,01,850941006384,,,,,
130123,01,075669121014,,,,,
130123,01,852909003534,,,,,
130123,01,050255011009,,,,,
130123,01,075669197057,,,,,
130123,01,078342017550,,,,,
130123,01,696968000017,,,,,
130123,01,852955007470,,,,,
130123,01,074683005904,,,,,
130123,01,853152100506,,,,,
130123,01,852955007487,,,,,
130123,01,853240003009,,,,,
130123,01,851562007316,,,,,
130123,01,853237003029,,,,,
130123,01,852955007326,,,,,
130123,01,898195001137,,,,,
130123,01,078314250008,,,,,
130123,01,865658000075,,,,,
130123,01,853244003968,,,,,
130123,01,853244003968,,,,,
130123,01,853244003968,,,,,
130123,01,853244003074,,,,,
130123,01,853244003074,,,,,
130123,01,853244003074,,,,,
130123,01,898195001489,,,,,
130123,01,898195001366,,,,,
130123,01,853311003570,,,,,
130123,01,853311003303,,,,,
130123,01,071072011447,,,,,
130123,01,853311003587,,,,,
130123,01,898195001687,,,,,
130123,01,051299111267,,,,,
130123,01,855571005158,,,,,
130123,01,024182002188,,,,,
130123,01,898195001656,,,,,
130123,01,072700000178,,,,,
130123,01,752451820583,,,,,
130123,01,853430006285,,,,,
130123,01,817053023210,,,,,
130123,01,853056004047,,,,,
130123,01,078411121089,,,,,
130123,01,051381881184,,,,,
130123,01,865658000099,,,,,
130123,01,051381886165,,,,,
130123,01,051381882631,,,,,
130123,01,853471004134,,,,,
130123,01,853544005242,,,,,
130123,01,898575001351,,,,,
130123,01,853544005402,,,,,
130123,01,853544005471,,,,,
130123,01,852909003527,,,,,
130123,01,899039002068,,,,,
130123,01,852955007647,,,,,
130123,01,051381882600,,,,,
130123,01,899039002587,,,,,
130123,01,853552003094,,,,,
130123,01,898575001337,,,,,
130123,01,853149008037,,,,,
130123,01,899039002570,,,,,
130123,01,899039002082,,,,,
130123,01,853584002010,,,,,
130123,01,853149008105,,,,,
130123,01,898999010007,,,,,
130123,01,898999006383,,,,,
130123,01,072700001359,,,,,
130123,01,051381885793,,,,,
130123,01,853149008099,,,,,
130123,01,853610003370,,,,,
130123,01,853555006559,,,,,
130123,01,853584002201,,,,,
130123,01,051381885960,,,,,
130123,01,853156007221,,,,,
130123,01,853584002232,,,,,
130123,01,853149008013,,,,,
130123,01,051381885953,,,,,
130123,01,853152100490,,,,,
130123,01,853104007747,,,,,
130123,01,853610003820,,,,,
130123,01,051381991982,,,,,
130123,01,853672002915,,,,,
130123,01,853665005473,,,,,
130123,01,853715003220,,,,,
130123,01,051381885175,,,,,
130123,01,899055000246,,,,,
130123,01,853158004044,,,,,
130123,01,899055001267,,,,,
130123,01,853672002939,,,,,
130123,01,899055000697,,,,,
130123,01,899055000642,,,,,
130123,01,072700360050,,,,,
130123,01,899684002413,,,,,
130123,01,853736005418,,,,,
130123,01,051381885090,,,,,
130123,01,853753008317,,,,,
130123,01,732148350074,,,,,
130123,01,051381885151,,,,,
130123,01,051381886202,,,,,
130123,01,078354716496,,,,,
130123,01,853169002558,,,,,
130123,01,853753008300,,,,,
130123,01,051381886349,,,,,
130123,01,853794008109,,,,,
130123,01,051381992033,,,,,
130123,01,853794008628,,,,,
130123,01,853169002497,,,,,
130123,01,853169002534,,,,,
130123,01,853240003016,,,,,
130123,01,853894007019,,,,,
130123,01,853894007392,,,,,
130123,01,853883006412,,,,,
130123,01,888559001026,,,,,
130123,01,072725000023,,,,,
130123,01,853894007712,,,,,
130123,01,051381886363,,,,,
130123,01,853237003418,,,,,
130123,01,051500902882,,,,,
130123,01,041224704404,,,,,
130123,01,854014002471,,,,,
130123,01,853237003005,,,,,
130123,01,078522001997,,,,,
130123,01,854049002323,,,,,
130123,01,854049002095,,,,,
130123,01,854049002132,,,,,
130123,01,854049002088,,,,,
130123,01,854049002057,,,,,
130123,01,854092006217,,,,,
130123,01,854092006156,,,,,
130123,01,051381906078,,,,,
130123,01,854049002453,,,,,
130123,01,854049002118,,,,,
130123,01,855643006076,,,,,
130123,01,854080006021,,,,,
130123,01,853303007005,,,,,
130123,01,854137000248,,,,,
130123,01,853244003760,,,,,
130123,01,854128008000,,,,,
130123,01,854171004257,,,,,
130123,01,854147008456,,,,,
130123,01,041244641024,,,,,
130123,01,072878176248,,,,,
130123,01,072878810982,,,,,
130123,01,853244003227,,,,,
130123,01,072878785297,,,,,
130123,01,072878811002,,,,,
130123,01,854262003992,,,,,
130123,01,854262003619,,,,,
130123,01,051381908751,,,,,
130123,01,051381908744,,,,,
130123,01,051381908041,,,,,
130123,01,078487452773,,,,,
130123,01,853311003044,,,,,
130123,01,853311003006,,,,,
130123,01,854392008461,,,,,
130123,01,041331020671,,,,,
130123,01,854413001600,,,,,
130123,01,854401004132,,,,,
130123,01,853345008046,,,,,
130123,01,853345008039,,,,,
130123,01,855643006083,,,,,
130123,01,853555006429,,,,,
130123,01,051381911393,,,,,
130123,01,853311003624,,,,,
130123,01,853665005459,,,,,
130123,01,854560005032,,,,,
130123,01,073141110815,,,,,
130123,01,853665005091,,,,,
130123,01,051381911089,,,,,
130123,01,855643006601,,,,,
130123,01,855643006601,,,,,
130123,01,051381911140,,,,,
130123,01,051381911355,,,,,
130123,01,051381911126,,,,,
130123,01,041331038379,,,,,
130123,01,051381911362,,,,,
130123,01,070670007326,,,,,
130123,01,856069005032,,,,,
130123,01,853311003341,,,,,
130123,01,851280008404,,,,,
130123,01,051381911256,,,,,
130123,01,041331030601,,,,,
130123,01,853665005633,,,,,
130123,01,853665005824,,,,,
130123,01,078522020257,,,,,
130123,01,070670007456,,,,,
130123,01,854803005454,,,,,
130123,01,051381911720,,,,,
130123,01,855754007238,,,,,
130123,01,854858001043,,,,,
130123,01,009400000122,,,,,
130123,01,853715003046,,,,,
130123,01,854936003624,,,,,
130123,01,854936003631,,,,,
130123,01,855643006588,,,,,
130123,01,855643006588,,,,,
130123,01,854936003464,,,,,
130123,01,854936003297,,,,,
130123,01,854936003051,,,,,
130123,01,854936003099,,,,,
130123,01,051381912277,,,,,
130123,01,051381912260,,,,,
130123,01,893222000787,,,,,
130123,01,855019004118,,,,,
130123,01,033844006617,,,,,
130123,01,855088005344,,,,,
130123,01,855088005238,,,,,
130123,01,855088005061,,,,,
130123,01,891872002021,,,,,
130123,01,855748000016,,,,,
130123,01,764218652566,,,,,
130123,01,051381914172,,,,,
130123,01,033844007645,,,,,
130123,01,051381914165,,,,,
130123,01,853553002584,,,,,
130123,01,855140002151,,,,,
130123,01,855188003981,,,,,
130123,01,033844007584,,,,,
130123,01,855368005101,,,,,
130123,01,855336004457,,,,,
130123,01,855367005256,,,,,
130123,01,855432003026,,,,,
130123,01,853522000894,,,,,
130123,01,078895134926,,,,,
130123,01,073416574601,,,,,
